time,deg,depth,mag_mw,detection
2017-09-12T01:12:36.750Z,41.5786668856,48.35,5.1,1
2017-09-12T05:08:47.120Z,41.9286608745,60.95,5.3,1
2017-09-12T06:43:43.340Z,21.1694854572,8.4,4.62,0
2017-09-13T02:01:38.680Z,41.6263612799,14.13,5,1
2017-09-13T07:22:17.046Z,19.6014063,79.6,4.32,0
2017-09-16T10:11:32.670Z,85.1557199333,10,5.2,1
2017-09-16T11:23:24.690Z,42.0635517478,46.15,5.195,0
2017-09-16T14:18:57.070Z,40.5200477271,27.8,5.4,1
2017-09-16T23:38:03.280Z,12.8021760672,10,5.1,1
2017-09-16T23:43:02.130Z,4.3762534557,36.1,2.51,1
2017-09-17T06:07:58.300Z,40.650558041,45.23,5.195,1
2017-09-17T14:26:08.120Z,93.560822915,21.57,5.7,0
2017-09-17T21:49:43.130Z,2.4705531171,22.35,2.4,0
2017-09-18T04:49:09.670Z,10.7300128408,3.91,3.6,0
2017-09-18T05:28:03.490Z,117.1196970882,10,5.875,0
2017-09-18T06:49:42.030Z,5.7025117146,10.89,2.78,0
2017-09-18T12:07:01.030Z,40.5199124093,38.92,5.195,0
2017-09-18T13:46:56.590Z,93.230987511,10,5.8,0
2017-09-18T14:19:12.870Z,41.5368224855,10,5.6,1
2017-09-19T07:03:02.500Z,41.1519848138,61.41,5.195,0
2017-09-19T07:53:13.680Z,41.8843315507,16.18,5.5,1
2017-09-19T18:14:38.420Z,36.8794220455,51,7.1,1
2017-09-20T01:43:30.060Z,118.4617597585,10,6.1,0
2017-09-20T02:37:35.380Z,43.8704896695,177.24,5.195,0
2017-09-20T10:39:28.940Z,42.0385773039,57.48,5.025,0
2017-09-20T16:37:16.230Z,63.2729539902,10,6.1,0
2017-09-20T20:09:49.810Z,90.8497571631,200.19,6.4,1
2017-09-21T00:05:20.920Z,82.2091253808,223.14,5.28,0
2017-09-21T11:44:29.370Z,41.6525481461,100.11,5.11,0
2017-09-22T05:33:44.310Z,28.4748294056,10,5.5,1
2017-09-22T19:50:15.030Z,9.6871085727,11.01,5.7,1
2017-09-23T10:38:08.980Z,41.3234311336,74.22,5.8,1
2017-09-23T12:53:02.180Z,40.0430216162,9.08,6.1,1
2017-09-23T13:24:12.110Z,40.0727060574,10,5.11,1
2017-09-24T10:06:12.980Z,41.6520581688,60.06,5.7,1
2017-09-24T17:14:21.550Z,1.7052284777,-0.06,2.08,1
2017-09-25T08:44:42.460Z,7.5949028806,10.68,3.44,0
2017-09-26T04:20:00.760Z,87.5796051876,98.07,6.4,1
2017-09-26T05:44:33.850Z,86.8927783824,232.1,5.28,0
2017-09-27T04:09:52.430Z,62.0000180316,10,5.28,0
2017-09-27T04:13:01.610Z,97.3630440622,60.39,5.535,0
2017-09-28T08:11:56.130Z,75.7147856624,10,5.535,1
2017-09-28T11:29:45.690Z,72.2569188338,10,5.535,1
2017-09-29T01:22:41.110Z,29.1888037156,33.24,5.195,0
2017-09-29T04:00:22.320Z,42.0765841417,21.66,5.79,1
2017-09-29T21:10:04.960Z,1.6227221469,-1.5,2.18,0
2017-09-30T05:40:40.910Z,7.7574177113,7.79,2.64,0
2017-09-30T10:30:02.460Z,100.11856795,37.67,5.2,0
2017-09-30T23:15:29.570Z,98.6662736614,10,5.5,0
2017-09-30T23:39:36.660Z,10.7069980067,6.15,3.14,0
2017-10-01T01:25:07.970Z,66.338949885,10,5.195,0
2017-10-01T01:35:26.490Z,59.1958182197,142.73,5.365,1
2017-10-02T05:30:19.710Z,1.8548979963,54.22,3.19,1
2017-10-05T02:03:58.591Z,19.275107803,51.1,4.42,0
2017-10-05T21:07:39.430Z,4.2055875534,-0.46,2.21,0
2017-10-06T02:03:48.320Z,94.1617730497,10,5.5,0
2017-10-06T07:59:32.880Z,63.9745141457,9,6.2,1
2017-10-06T17:41:23.140Z,126.8723800349,10,5.6,0
2017-10-07T00:16:30.880Z,96.0882507116,10,5.4,0
2017-10-07T21:15:56.080Z,1.6767570346,-0.37,2.13,0
2017-10-08T22:34:33.960Z,36.7400983568,111.84,6.6,1
2017-10-10T06:32:20.800Z,82.9629471355,82.43,6.3,1
2017-10-10T18:53:27.770Z,150.5364870029,9,6.7,1
2017-10-11T01:24:25.590Z,10.8024069549,10,4.1,1
2017-10-11T09:26:08.080Z,3.4085763359,10,4.855,1
2017-10-12T18:59:08.890Z,95.4566325679,163.43,5.5,0
2017-10-12T19:04:20.540Z,3.9692225134,12.91,3.36,1
2017-10-13T08:00:51.230Z,29.2546389216,36.58,5.11,0
2017-10-14T00:20:57.330Z,40.5459015907,51.31,5.5,1
2017-10-15T01:41:51.920Z,7.5726021114,8.92,4.02,1
2017-10-15T21:07:56.600Z,1.6797680113,-1.5,1.66,0
2017-10-16T18:09:23.610Z,86.8766442037,10,5.62,0
2017-10-17T04:46:56.300Z,2.0872702746,46.25,2.4,0
2017-10-18T01:30:10.460Z,8.9989700675,10,4.6,0
2017-10-18T12:00:59.810Z,83.4604414749,10,6,1
2017-10-18T16:44:35.180Z,94.0636840825,193,5.6,0
2017-10-18T17:59:01.000Z,0.1718122471,0,1.94,1
2017-10-19T05:35:37.890Z,19.770276344,101.7,5.02,0
2017-10-19T09:02:01.900Z,77.9932416551,10,5.8,0
2017-10-19T22:18:16.790Z,7.5617306072,4.38,4.42,1
2017-10-20T21:19:31.840Z,1.6953695966,-1.5,2.07,0
2017-10-21T12:56:43.730Z,51.3948485257,10,5.3,0
2017-10-21T21:16:45.650Z,1.6949438833,3.5,2.38,0
2017-10-22T02:39:59.380Z,1.5243497069,51.38,2.67,1
2017-10-22T14:21:01.450Z,95.2818488646,209.39,5.4,0
2017-10-23T08:32:32.250Z,154.9437038837,10,5.9,0
2017-10-24T10:47:47.540Z,110.8252089286,549.19,6.7,1
2017-10-24T16:12:15.070Z,41.7793368104,47.34,5.28,0
2017-10-25T21:15:51.620Z,1.6594140845,-1.5,2.06,0
2017-10-26T08:01:32.000Z,8.8834563729,6.4,4.345,0
2017-10-27T01:28:52.140Z,2.1027337912,18.11,2.73,1
2017-10-28T16:13:54.440Z,43.3693123178,10,5.8,1
2017-10-28T19:11:01.690Z,43.3674046004,10,6,1
2017-10-30T17:12:06.720Z,73.7750369968,100.89,5.875,0
2017-10-31T00:42:06.880Z,93.0813560308,11.06,6.8,1
2017-10-31T11:34:44.460Z,105.2691618548,47.52,5.875,0
2017-10-31T12:37:50.690Z,105.1713449326,38.73,5.7,0
2017-10-31T19:22:09.830Z,93.3119053407,21.1,5.4,0
2017-10-31T21:15:09.070Z,1.8441265268,-0.06,2.08,0
2017-11-01T00:09:30.040Z,93.2799388533,10,6.1,0
2017-11-01T02:23:56.190Z,93.2358819111,10,6.6,1
2017-11-01T05:09:00.630Z,93.3464715563,10,6,1
2017-11-01T09:33:46.450Z,93.4059540293,10,5.4,0
2017-11-02T03:27:27.120Z,93.4398763805,10,5.6,0
2017-11-02T16:51:29.350Z,93.3358555633,5.24,5.4,0
2017-11-03T10:43:15.070Z,10.7620529444,10.16,4.02,0
2017-11-03T11:52:10.210Z,33.6835459737,10,5.7,1
2017-11-04T09:00:19.980Z,78.6115995732,10,6.8,1
2017-11-04T14:08:55.280Z,92.9058106455,10,5.6,0
2017-11-05T15:00:24.280Z,63.110097501,46.7,5.4,0
2017-11-05T17:03:02.857Z,19.9018691676,137.9,5.22,1
2017-09-05T16:08:34Z,1.7252216297,36.20,3.72,1
2017-09-13T19:32:07Z,0.3587663904,9.50,1.44,1
2017-08-21T08:57:31Z,0.3602931917,6.00,1.34,1
